Cleaned_Comment,Predicted_Sentiment
pm common man,POSITIVE
prime minister sab kay hosly ny team ko aik dafa dobara world cup jeeta diya players kay under confidence peda hoa australia sy harny kay bad,NEGATIVE
ye hai real leader haar me bhi saath tha jeet me bhi sath hai,NEGATIVE
i am very happy india won the world cup,POSITIVE
indian teem or indian prime minister proud of indians,POSITIVE
what a proud moment for all the players,POSITIVE
great interview with pm sir,POSITIVE
proud of our country salute all indian cricketerreally love you all india cricketer,POSITIVE
best one is modi said kuldeep tumhari himmat kaise hui captain ko nachane ki,POSITIVE
modi ji ignored shivam dube as i ignore my relatives,NEGATIVE
hindu bolte rahul sir kitna sweet sound kr rahe hain,POSITIVE
pm se aise baat kar rahe hai jaise world cup jita ho,POSITIVE
rishabh bhai ki case band karne ka call aya tha shayad,NEGATIVE
great pm meet with great team,POSITIVE
kailash parvat bharat kab aayega bhagwan shiv ka mul niwas wahin hai,POSITIVE
nice interview modi ji,POSITIVE
aise aadmi ko kaise dictator bol skte hai,NEGATIVE
amazing session thank you modiji loved the way how rahul dravid spoke,POSITIVE
worlds best prime minister and world best team jai hind jai bharat,POSITIVE
haar ke waqt bhi saath the aaj jeet ke waqt bhi saath hai modi ji,NEGATIVE
thanks for sharing this wining moments indian team congratulations for huge contribution we thanks pm sir love you all,POSITIVE
modi ke virodhi ish mainb galti durnd raha hoga,NEGATIVE
rohit be like kya bakchodi chal rhi bhd khatm karo,POSITIVE
lavde na bhojyam,NEGATIVE
i love my country bharat well played by india and i am proud to be our prime minister modi ji jai hind,POSITIVE
trending me ana chahiye,POSITIVE
modi sir virat thode bahut follower dete jao,NEGATIVE
virat is a class act hats off to pant and thanks to modi for genuine interaction,POSITIVE
my team india ke liye badhai ho ok rohit ji,POSITIVE
bahut accha laga modi ji aap team ko itna front matav dete hai salute apko aur team india ko love u shero,POSITIVE
jai shah,POSITIVE
ye hota desh ke liye khelne walo ko spot krna desh ke pm ka sabko pyar se milna baat krna bahut kuch kehta he khel khiladi sabko aagey le jayega,NEGATIVE
rosuperhit sharma,POSITIVE
congratulations bharath cricket team leaders,POSITIVE
modiji anti hindu prof bhagvan puts fir on me please help me honorable pm,POSITIVE
that chahal ka idea tha ka was epic,NEGATIVE
druv rathi new video out,POSITIVE
thanks respected prime minister honouring our players salute sir,POSITIVE
jai hindjai bharat,POSITIVE
sir sir,POSITIVE
modi ji ab football mei bhi dhan de do,NEGATIVE
when pakistani listen rohits team hard work support nd all they surely think where they liesthey are nothing infront of ours boyzour cricket not only inspires our upcoming boyz but all other teamwe are not won by luck we won by our hard work nd dedication with heart proud to have such a team nd to be indian bharat,POSITIVE
congratulations bharat and team india jai ho,POSITIVE
according to liberals indian cricketers are bhakts now,NEGATIVE
jay siya ram,POSITIVE
i had a big smile on my face while watching this,POSITIVE
the og player and og pm what a feeling jai hind,NEGATIVE
thankyou honourable pm sir and team india such a lovely moments,POSITIVE
chahal harayna k ladka,POSITIVE
chahal ki harkate pm ko v pta hai,NEGATIVE
hum khushnasib hai ki aap jaise pm milebahut proud feel karta hu indian hone pe garv hai hume sabhi khiladionpe,POSITIVE
thanks modi sir,POSITIVE
thank you pm modi ji you help so much in our countrys development thank you,POSITIVE
it feels good to see countrys pm is interacting like this to our players,POSITIVE
ye hota hai leader,POSITIVE
wow just wow,POSITIVE
chahal kyo serious hai,POSITIVE
what an honor by pm modi just imotional,POSITIVE
gujarat k ksi,POSITIVE
youtube,POSITIVE
desh bhakat modiji i love you,POSITIVE
best gesture from our pm,POSITIVE
modi sir aap grate hoo,NEGATIVE
hardik pandaya respect button,POSITIVE
blessed to have a pm like you modi ji,POSITIVE
i feel very proud of my countrys pm modi ji,POSITIVE
let it be mr pm ye baat ab purani ho chuki h aap ab ess pr dhyan do ki bache aapke padh kya rhe h aur kaise rhe h unke liye bhi ab sach mei kuch central level pr bda kro appki nep to aate aate desh k pdhne wale sab sooli chd chuke honge nhi to fir apne naam k stadium mei baith k apni sarkari upadi ki thali bajana aur ram mandir ram mandir krte rhna ab esse aage bdo aur moolbhoot awshyakta pr aao nhi to koi yuva rhega hee nhi,NEGATIVE
chahal bhai seriys ho,POSITIVE
ek subscribe please bharat ke liye mere channel pe please,NEGATIVE
very nice interaction appreciation by modi ji is great the way modi ji interacted with cricketers is really great,POSITIVE
rahul ka respect button,POSITIVE
world championships with world leader,POSITIVE
modiji aap ne bahot acha motivation kiya mja aa gya dnyvad,NEGATIVE
pm thanks team india thanks modi ji,POSITIVE
ur great sir,POSITIVE
something worth watching,POSITIVE
what a proud moment jai hind jai bharat,POSITIVE
thank you sir prime minister pm modi thank you team indian player players,POSITIVE
pm ne liya cricketers ka interview,NEGATIVE
true legions of nationalism,POSITIVE
only modi ji government support such winning team irrespective of religion and region unlike khangress,NEGATIVE
jadeja ki wife she is sanatani pure dil se,NEGATIVE
next question will rohit and virat play olympics,POSITIVE
good work sir,POSITIVE
quotgame ko izzat di toh game ne mujhe izzat diquot beatifully said,NEGATIVE
proud of our country,POSITIVE
jai hind jai bharat mata ki jai om nam shivaya,NEGATIVE
melodi for the reason,NEGATIVE
bharat is so lucky to such a great pm blessed to be born in such a time,POSITIVE
bhai bss itna bolunga dhanayabad aur mata rani ke kripa ap pr bne rahe,NEGATIVE
we are blessed to have bumrah and modi ji,POSITIVE
modi ji india ka har athletes itna respect deserve karta ha i hope sabko denga female also,NEGATIVE
thanks pm modi ji,POSITIVE
thank u modiji for this wonderful and spiritual interview with the team india jay ho,POSITIVE
sir jab indian cricket team hari thi tab aap unse milne gaye aur jab indian cricket team jeeti tab bhi aap unse milne gaye aur abhi aap olympic main jaane wale khiladiyo se bhi h mile aap itni chizze karte h par phir logo ko yeh kyu nahi dikhta sab aapko criticise kyu karte hai,NEGATIVE
chahal se personal hai kya bjp mai lena hai,NEGATIVE
abe papu sikho apne baap se aise milte h apne players se,NEGATIVE
jadeja ki wife pure sanatani hai chal dada ji k pair choo le nalayak,NEGATIVE
kaun kaun virat aur surya ka fans hai jo hai o like kare,POSITIVE
jai modi ji,POSITIVE
ye pm sabse alag h sabse juda,NEGATIVE
last moment was very very very imotonal thankfully no words,NEGATIVE
rohits ye wo ye wo,NEGATIVE
i only watch this for team india not for panauti,POSITIVE
what a heart touching video i watched every bit of it,POSITIVE
respected bangalore,POSITIVE
i am proud i belong to this nation and this race of champions in all areas of life proud to be a bhartiya hindustani,POSITIVE
chootiye when did the earlier pm treat the cricketers as slaves,NEGATIVE
show up hai,POSITIVE
india team respect button,POSITIVE
prime minister always treating friendly so everyone is comfortable with him what a man,POSITIVE
one cannot think of any other leader of the world except modi he is the inspiration the ideal of the worldlove from bangladesh joy shree ram,POSITIVE
i just loved this whole team meeting with the honourable prime minister sir ji i recommend everyone to watch the complete video it will inspire you,POSITIVE
modi ki yehi quality hai vo honsla dete hain apne players ko,NEGATIVE
congrats to team india love you bhai log brought us so much happiness modiji ek hi dil hain kitni bhar jeetenge sarkar you genuinely are our most valuable player with you captaining the india ship we will always succeed in all fields jai hind vande mataram bharat mata ki jai,POSITIVE
modi ji full mood me,POSITIVE
dravid sir voice bahut similar hai nana patekar ji se,NEGATIVE
bsnl ko theek kro modi,NEGATIVE
gyn gaming need justices,NEGATIVE
ritika bhabi hat jao aaj rohit ke l pr mein bethunga,NEGATIVE
vgood,POSITIVE
chahal smile,POSITIVE
i felt really good and got motivation,POSITIVE
is desh parfect pm mila hai thank you modi ji,POSITIVE
great pm in bharat modi ji or great kiladi rohit shrma tem,POSITIVE
i dont like prime minister modibut for this interviewek like like to banta hai,NEGATIVE
mind blowing meeting,POSITIVE
india india jai ho jai barath matha ki jai,POSITIVE
standing strong with the team in their worst and in their best thats our true leader modiji,POSITIVE
please try to add english captions,NEGATIVE
kaafi acha lga pm sahab ka interaction dekh ke,NEGATIVE
he did not speak with jadeja and dube,NEGATIVE
sanju samson ko yaha bhi jagah nhi mili,NEGATIVE
vo ata hi hoga bolne kya is meeting ki jarurat thi,NEGATIVE
an amazing conversation thank you shri narendra modi ji for hosting team india,POSITIVE
great leader great team great future ahead for india,POSITIVE
feels so proud of the pm and the team jai hind jiyo shan se,POSITIVE
great person modi ji but i am samajavadi i love akhilesh bhaiya but not hate modi ji,POSITIVE
pm is great,POSITIVE
arey sir neet walo ke liye bi kuch bolo,NEGATIVE
sarkar hoi to modi ji jeshe,POSITIVE
modi roasted chahal,POSITIVE
best podcasts watch everby our beloved prime ministerwith champions,POSITIVE
love modi,POSITIVE
india team win due to just players hardwork,POSITIVE
khaas wrestling protest pr bhi itna dhyan dete,NEGATIVE
modi ji ke saath ek victory dance ho jaata toh mazaa aa jaata,NEGATIVE
thank you sir invited india cricket team,POSITIVE
no words a huge respect to team india amp prime minister narendra modiji this video shows truly example of coming generation the way he is leading nation,POSITIVE
what a fantastic conversation we got by our lovable pm modi ji he us very caring towards our atheletes we r really grateful to hv him as our prime minister,POSITIVE
this is superb modi ji motivate further our younger genaration to acheive big,POSITIVE
jai shree ramhar har mahadev,POSITIVE
missing siraj,NEGATIVE
sir ewaste company ecoreco acha kaam kar rahi hi india bharat electronic waste par acha kaam kar raha hi ecoreco share,NEGATIVE
great pm of india jay shree ram,POSITIVE
love to see the best talking,POSITIVE
best video bhai trending mai aani chahiye,POSITIVE
modi ji and my rohit bhiya and virat bhiya and all indian player,POSITIVE
what a lovely moment to cherish this thank you for this pm modi,POSITIVE
badly hara diye africa ko,NEGATIVE
jay hind sir jay jay garvi gujarat jay bharat,NEGATIVE
modi sir your great,POSITIVE
sir football ko bhi hona chahiye,POSITIVE
my team is best team in world i love india and indian cricket team,POSITIVE
aisa leader kabhi nahi milega,NEGATIVE
wow what a conversation between team amp pm sir nice great,POSITIVE
chal bhai,POSITIVE
leader modi sir,POSITIVE
video u,POSITIVE
i am proud of you pm sir,POSITIVE
what a beautiful catchup with world champions,POSITIVE
modiji ham par bhi thoda dhyan dijiyega kyaneet paper leak ka kya,NEGATIVE
jai hind jai bharatvarsh,NEGATIVE
why shivam dubey was not in photo time not in any moment,NEGATIVE
an inspiration for next generation level of sports,POSITIVE
pm like respected modi ji captain like rohit sharma team like team india proud to be indian,POSITIVE
is awesome thankyou but style,POSITIVE
shivam dube ko ignore kyu kia,NEGATIVE
bhai agar tum achchi baat karoge to sab tum ko hi deshdrohi bata denge,NEGATIVE
manipur haryana no interaction,NEGATIVE
big respact to our pm he know each players life,POSITIVE
one more trophy and once again prime minister,POSITIVE
anyones noticed that modi is having fun with chahal by saying to chahal that he why seems to be too seriously just great to see that our dear prime minister shri narender modi it mst be first time in history that any indian pm is taking care of sports as he is talking with our cricketer salute to u mr narendra modi,POSITIVE
rohit trying his best to not use tapori slang,NEGATIVE
beautiful modi ji,POSITIVE
ek rg ha aur ek rd ha dono main jameen asman ka farak ha,NEGATIVE
main ummeed karta hu ki bharat agli baar australian team ko final mein buri tarah hara ke world cup laaye dua karunga wo din bahut jaldi aaye aur puri duniya ko bharatiyon ka dabdaba mehsus ho,NEGATIVE
our pm modiji is an inspiring leader the world loves to have modiji as their leader we are fortunate sir,POSITIVE
chamcho ko nind nhi aayegi yeh video dekhkar ek akela modiji ita work kese handle kese kr lete h ek ek khiladi ka dhyan kese rkh skte h,NEGATIVE
dubey last match acha khela use thoda baat kar lete,NEGATIVE
rahul dravid is best coach ever,POSITIVE
thats why we love you sooo soo much sirpm modi sir jai hind jai bharat,POSITIVE
ro thank you hamare payare modi ji,POSITIVE
king kohli respect botton on plz,POSITIVE
shivam dubey se bhi kuchh bulwa lete,NEGATIVE
blegends meet legend b,POSITIVE
subscribe please,POSITIVE
pls put captions in english or english subtitles yrrr,NEGATIVE
a memorable video,POSITIVE
heart winning and warming momentthis is what great leadership looks like,POSITIVE
we proud of you,POSITIVE
world great my pm,POSITIVE
modiji and roko hit india world cup,POSITIVE
a big salute to our cricket team to make our nation proud,POSITIVE
thanks team india and modi ji,POSITIVE
no captions it is a emotions,NEGATIVE
no jadeja talk,NEGATIVE
why modiji didnt talk with jadeja,NEGATIVE
modiji chahal ki shaitaaniyan jaaante hain,NEGATIVE
next captain pant hoga aisa lag raha hai,POSITIVE
pm modi world best pm,POSITIVE
a team,POSITIVE
we the indians are ready to win gold in olympicsproud to be an indian,POSITIVE
jeh sahi hai yar puri baat hindi mein kii but wankhede mein english mein baat kii jeh bura tha,NEGATIVE
party jo bhi hoo desh ka pm to aisa hona sahiye,NEGATIVE
it is very proud and beautiful moment for us that pm has invited our players and showed respect to themi hope that pm should give this respect and some attention to indian football they are also playing for our country,POSITIVE
kaas ek baatcheet es desh ke kishano ke sath bhi ki jaati,NEGATIVE
sir app wrestler ke sath bhi yse hi mile ty ol baad me sbko pta h unke sath kya hua tha,NEGATIVE
pm ne siraj se baat nahi ki aur na milne wali video hai aisa kyon kiya,NEGATIVE
vs two legend,POSITIVE
rohit sharma ko bht taklif ho rhi hain bolne mai,POSITIVE
sir jii bahut aacha sabhi bhaiyo ko hosala dene ke leye thinku sir jay hind,NEGATIVE
